Job Name,Company,Salary,Link
Android Engineer,YUNHUAI TECHNOLOGY (30+ Staff),"$1,500 - $4,000 / month",https://www.dejob.top/jobDetail?id=2272
Product Manager,YUNHUAI TECHNOLOGY (30+ Staff),"$1,500 - $3,000 / month",https://www.dejob.top/jobDetail?id=2271
Solutions Engineer,Mantle Network (100+ Staff),"$8,000 - $15,000 / month",https://www.dejob.top/jobDetail?id=2270
Marketing Lead,Orca  (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2269
Game Designer,AlphaClub （Cheers） (1-5 Staff),"$1,500 - $3,000 / month",https://www.dejob.top/jobDetail?id=2268
Community Manager,MEXC (100+ Staff),"$1,300 - $2,000 / month",https://www.dejob.top/jobDetail?id=2267
Social Media Operation,HackQuest (10+ Staff),"$2,000 - $2,500 / month",https://www.dejob.top/jobDetail?id=2266
Marketing Associate,Meet48 (30+ Staff),"$3,000 - $8,000 / month",https://www.dejob.top/jobDetail?id=2265
Social Media Operation,BingX (100+ Staff),"$1,900 - $3,600 / month",https://www.dejob.top/jobDetail?id=2264
UI Designer,FameEX (100+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=1920
Operation Manager,sypool (10+ Staff),"$1,000 - $1,700 / month",https://www.dejob.top/jobDetail?id=2263
Frontend Engineer,YUNHUAI TECHNOLOGY (30+ Staff),"$1,500 - $4,000 / month",https://www.dejob.top/jobDetail?id=2262
IOS Engineer,YUNHUAI TECHNOLOGY (30+ Staff),"$1,500 - $4,000 / month",https://www.dejob.top/jobDetail?id=2261
Test Engineer,Coinstore (100+ Staff),"$3,500 - $6,000 / month",https://www.dejob.top/jobDetail?id=2260
Senior Product Manager,Keystone (10+ Staff),"$2,800 - $4,000 / month",https://www.dejob.top/jobDetail?id=2259
Test Engineer,Coinstore (100+ Staff),"$2,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=1377
Mobile Developer,Gate io  (100+ Staff),"$2,100 - $3,500 / month",https://www.dejob.top/jobDetail?id=2258
Market Maker Trader,krpbit (30+ Staff),"$1,500 - $2,000 / month",https://www.dejob.top/jobDetail?id=2257
Data Analyst,Gate io  (100+ Staff),"$1 - $2,000 / month",https://www.dejob.top/jobDetail?id=2256
Data Engineer,Logearn (10+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2255
Content Creator,Long69Wang (10+ Staff),"$800 - $1,200 / month",https://www.dejob.top/jobDetail?id=2254
UI/UX Interface Designer,Solarchain Labs (5+ Staff),"$2,000 - $2,500 / month",https://www.dejob.top/jobDetail?id=2253
Backend Engineer,Puffer Finance (10+ Staff),"$8,000 - $15,000 / month",https://www.dejob.top/jobDetail?id=2252
Frontend Engineer,Puffer Finance (10+ Staff),"$8,000 - $15,000 / month",https://www.dejob.top/jobDetail?id=2251
Business Development,Bitget (100+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2250
Operation Manager,Bitroo (1-5 Staff),"$2,000 - $3,000 / month",https://www.dejob.top/jobDetail?id=2249
Frontend Engineer,Puffer Finance (10+ Staff),"$8,000 - $15,000 / month",https://www.dejob.top/jobDetail?id=2248
Backend Engineer,Puffer Finance (10+ Staff),"$8,000 - $15,000 / month",https://www.dejob.top/jobDetail?id=2247
Business Development,Gate io  (100+ Staff),"$1 - $6,000 / month",https://www.dejob.top/jobDetail?id=2246
Business Development,Gate io  (100+ Staff),"$1 - $6,000 / month",https://www.dejob.top/jobDetail?id=2245
Product Operation,Gate io  (100+ Staff),"$1 - $5,500 / month",https://www.dejob.top/jobDetail?id=2244
Growth Manager,Gate io  (100+ Staff),"$1 - $5,500 / month",https://www.dejob.top/jobDetail?id=2243
Operation Manager,Gate io  (100+ Staff),"$1 - $5,500 / month",https://www.dejob.top/jobDetail?id=2242
Operation Manager,Bitget (100+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2241
Business Development,Bitroo (1-5 Staff),"$1,200 - $3,000 / month",https://www.dejob.top/jobDetail?id=2240
Business Development,2MR LABS (10+ Staff),"$800 - $1,500 / month",https://www.dejob.top/jobDetail?id=2239
Growth Lead,Litentry (10+ Staff),"$4,500 - $7,000 / month",https://www.dejob.top/jobDetail?id=2238
Growth Associate,Wombat (10+ Staff),"$1 - $4,000 / month",https://www.dejob.top/jobDetail?id=2237
UI Designer,汇信国际 (100+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=1790
PHP R&D Engineer,汇信国际 (100+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=1544
Frontend Engineer,汇信国际 (100+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=1839
DevOps Engineer,汇信国际 (100+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=1558
Test Engineer,汇信国际 (100+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=2043
IOS Engineer,汇信国际 (100+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=1789
Business Development,BYDFi (100+ Staff),"$2,000 - $8,000 / month",https://www.dejob.top/jobDetail?id=2236
Project Operation,RentFun (5+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2235
Senior Product Manager,FameEX (100+ Staff),"$4,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=2234
Smart Contract Engineer,Pontem Network (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2233
Event Planning,Gate io  (100+ Staff),"$1,000 - $2,000 / month",https://www.dejob.top/jobDetail?id=2232
Senior Product Manager,FameEX (100+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=1750
Operations Associate,Gate io  (100+ Staff),"$1,000 - $2,000 / month",https://www.dejob.top/jobDetail?id=2231
Partner Operation,Gate io  (100+ Staff),"$1,000 - $2,000 / month",https://www.dejob.top/jobDetail?id=2230
Graphic Designer,Gate io  (100+ Staff),"$1,000 - $2,000 / month",https://www.dejob.top/jobDetail?id=2229
Fullstack Engineer,Mesha (10+ Staff),"$1,000 - $3,000 / month",https://www.dejob.top/jobDetail?id=2228
Project Operation,Bitget Wallet (100+ Staff),"$2,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2227
Blockchain Engineer,web3MQ (10+ Staff),"$4,500 - $5,000 / month",https://www.dejob.top/jobDetail?id=2226
Blockchain Engineer,web3MQ (10+ Staff),"$2,900 - $3,600 / month",https://www.dejob.top/jobDetail?id=2225
Business Development,WEEX  (100+ Staff),"$1 - $1,000 / month",https://www.dejob.top/jobDetail?id=2224
PHP Engineer,MaskEX (100+ Staff),"$4,000 - $7,000 / month",https://www.dejob.top/jobDetail?id=2223
Brand Manager,TronDao (100+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2222
Industry Researcher,TronDao (100+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2221
Business Development,FameEX (100+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=1767
Network Engineer,FameEX (100+ Staff),"$2,000 - $4,500 / month",https://www.dejob.top/jobDetail?id=2220
Javascript Engineer,FameEX (100+ Staff),"$3,000 - $6,500 / month",https://www.dejob.top/jobDetail?id=2219
Marketing Manager,Promptport (10+ Staff),"$1,500 - $2,500 / month",https://www.dejob.top/jobDetail?id=2218
Business Development Associate,BurgerCities (30+ Staff),"$1,400 - $2,200 / month",https://www.dejob.top/jobDetail?id=2217
QA Tester,OneKey (30+ Staff),"$2,000 - $3,000 / month",https://www.dejob.top/jobDetail?id=1392
Frontend Engineer,RentFun (5+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2216
Customer Service,MEXC (100+ Staff),"$2,000 - $2,500 / month",https://www.dejob.top/jobDetail?id=2215
Business Development,MEXC (100+ Staff),"$1,000 - $1,000 / month",https://www.dejob.top/jobDetail?id=2214
Data Engineer,MEXC (100+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2213
Customer Support,MEXC (100+ Staff),"$2,500 - $3,000 / month",https://www.dejob.top/jobDetail?id=2212
Customer Service,MEXC (100+ Staff),"$1,000 - $1,500 / month",https://www.dejob.top/jobDetail?id=2211
Business Development Lead,PartnerR (10+ Staff),"$1,000 - $8,000 / month",https://www.dejob.top/jobDetail?id=2209
Marketing Manager,Bitroo (1-5 Staff),"$2,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2208
Social Media Operation,Bitroo (1-5 Staff),"$1,500 - $3,500 / month",https://www.dejob.top/jobDetail?id=2205
Community Manager,Mantle Network (100+ Staff),"$3,000 - $8,000 / month",https://www.dejob.top/jobDetail?id=2204
Event Planning,CESS  (10+ Staff),"$2,000 - $3,000 / month",https://www.dejob.top/jobDetail?id=2203
Frontend Engineer,CESS  (10+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2202
Operation Manager,GMGN (100+ Staff),"$4,000 - $5,500 / month",https://www.dejob.top/jobDetail?id=2201
Business Development,krpbit (30+ Staff),"$900 - $1,000 / month",https://www.dejob.top/jobDetail?id=2200
Visual Designer,MyShell.ai (10+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2199
Blockchain Engineer,Bitmap Tech (30+ Staff),"$4,500 - $8,000 / month",https://www.dejob.top/jobDetail?id=2198
Business Development,Chainbase (10+ Staff),"$5,000 - $8,000 / month",https://www.dejob.top/jobDetail?id=2197
Product Manager,Chainbase (10+ Staff),"$3,500 - $5,500 / month",https://www.dejob.top/jobDetail?id=2196
Data Engineer,Chainbase (10+ Staff),"$3,500 - $5,500 / month",https://www.dejob.top/jobDetail?id=2195
Frontend Engineer,Chainbase (10+ Staff),"$2,500 - $4,000 / month",https://www.dejob.top/jobDetail?id=2194
Business Manager,OneKey (30+ Staff),"$4,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2041
React Engineer,OneKey (30+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2083
Backend Engineer,OneKey (30+ Staff),"$3,000 - $7,000 / month",https://www.dejob.top/jobDetail?id=1583
Product Operation,CoinW Exchange (30+ Staff),"$2,500 - $4,000 / month",https://www.dejob.top/jobDetail?id=2193
Senior Product Manager,CoinW Exchange (30+ Staff),"$3,500 - $6,500 / month",https://www.dejob.top/jobDetail?id=2192
Event Planning,Gate io  (100+ Staff),"$1 - $6,500 / month",https://www.dejob.top/jobDetail?id=2191
Project Operation,Gate io  (100+ Staff),"$1 - $5,500 / month",https://www.dejob.top/jobDetail?id=2190
Data Analyst,Gate io  (100+ Staff),"$1 - $6,000 / month",https://www.dejob.top/jobDetail?id=2189
Project Manager,SuperWorld (10+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2188
Community Manager,SuperWorld (10+ Staff),"$5,000 - $7,500 / month",https://www.dejob.top/jobDetail?id=2187
Principal Engineer,DappLink (10+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2186
Developer Advocate,Base (30+ Staff),"$13,500 - $16,000 / month",https://www.dejob.top/jobDetail?id=2185
Backend Engineer,Agora  (10+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2184
Product Designer,Agora  (10+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2183
Recruiter,MEXC (100+ Staff),"$1,000 - $3,000 / month",https://www.dejob.top/jobDetail?id=2182
Technical Researcher,DappLink (10+ Staff),"$1,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2181
Blockchain Engineer,DappLink (10+ Staff),"$1,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2180
Technical Support,DappLink (10+ Staff),"$500 - $2,000 / month",https://www.dejob.top/jobDetail?id=2179
Operations Associate,DappLink (10+ Staff),"$500 - $2,000 / month",https://www.dejob.top/jobDetail?id=2178
Recruiter,Grass (10+ Staff),"$5,400 - $7,000 / month",https://www.dejob.top/jobDetail?id=2177
Frontend Engineer,Predx.ai (10+ Staff),"$1,500 - $2,500 / month",https://www.dejob.top/jobDetail?id=2175
Risk Control Specialist,MEXC (100+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2174
Ambassador,InitVerse (10+ Staff),$400 - $500 / month,https://www.dejob.top/jobDetail?id=2173
Senior Product Manager,OpenBlock (10+ Staff),"$4,000 - $7,000 / month",https://www.dejob.top/jobDetail?id=2172
Senior Product Manager,OpenBlock (10+ Staff),"$4,000 - $7,000 / month",https://www.dejob.top/jobDetail?id=2171
Data Engineer,Pond (5+ Staff),"$5,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=2170
Marketing Lead,Coinstore (100+ Staff),"$3,500 - $5,000 / month",https://www.dejob.top/jobDetail?id=2169
Mobile Developer,MaskEX (100+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=2167
Product Manager,SoSo Value (30+ Staff),"$2,000 - $2,900 / month",https://www.dejob.top/jobDetail?id=2166
DevOps Engineer,Celestia (100+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2164
Marketing Lead,Aptos (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2163
Marketing Lead,Aptos (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2162
IT Engineer,Agoric (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2161
Frontend Engineer,Zapry (10+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2159
Business Development,krpbit (30+ Staff),"$900 - $1,000 / month",https://www.dejob.top/jobDetail?id=2158
HR Manager,MEXC (100+ Staff),"$1,000 - $2,000 / month",https://www.dejob.top/jobDetail?id=2157
